"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"c0e1b99d-ec0a-4c7e-a230-1a1eaa780620","[577-710] Lincolnshire Inquest UTF8.txt","577 Robert de Berughdon, Gilbert’s clerk, took Vi mark from the same Joan for the same business. [Robert reported dead: see 1130 below.]","char-offset:0","EVENT","","","","","","","","",""
"c56933a3-492d-41b7-ad31-51554f9f9e33","[577-710] Lincolnshire Inquest UTF8.txt","Robert de Berughdon","char-offset:4","PERSON","","","","","","","","",""
"15e63e58-8a14-4a3d-91fe-9f6d902cf5b8","[577-710] Lincolnshire Inquest UTF8.txt","Gilbert","char-offset:25","PERSON","","","","","","","","",""
"401e079f-1518-4f86-922b-c0107dde950a","[577-710] Lincolnshire Inquest UTF8.txt","Joan","char-offset:69","PERSON","","","","","","","","",""
"1eb218d5-1df5-40c0-b0e7-e3b39e443ab1","[577-710] Lincolnshire Inquest UTF8.txt","Robert","char-offset:98","PERSON","","","","","","","","",""
"7d579f5a-bc8c-4b5b-b52c-b1d6da28700f","[577-710] Lincolnshire Inquest UTF8.txt","578 The same Gilbert on 15 Nov. 1339 at Barton upon Humber took 40s from Thomas de Lekyngfeld not to take his wool. [See 772 below.]","char-offset:137","EVENT","","","","","","","","",""
"bfef9d55-705f-4faa-b4ce-58291d36e2a5","[577-710] Lincolnshire Inquest UTF8.txt","Gilbert","char-offset:150","PERSON","","","","","","","","",""
"8c7933c9-f3bd-4822-aa6f-54c569e111aa","[577-710] Lincolnshire Inquest UTF8.txt","Barton upon Humber","char-offset:177","PLACE","http://sws.geonames.org/2656206","Barton upon Humber","","53.68004","-0.43765","","VERIFIED","",""
"cd1adb4e-7310-499e-bfa5-752af92c341f","[577-710] Lincolnshire Inquest UTF8.txt","Thomas de Lekyngfeld","char-offset:210","PERSON","","","","","","","","",""
"33653b6c-7b9f-4ef4-811b-6b5353822273","[577-710] Lincolnshire Inquest UTF8.txt","579 John de Trehampton, former sheriff of Lincolnshire, on 3 July 1335 at Lincoln took 100s from Walter de Hamby, knight, to help collect a debt of 200 marks, which Alexander de Cobeldyk had acknowledged he owed to Walter in Chancery.","char-offset:270","EVENT","","","","","","","","",""
"141b4b11-1bee-49af-ba9e-100de8083d6c","[577-710] Lincolnshire Inquest UTF8.txt","John de Trehampton","char-offset:274","PERSON","","","","","","","","",""
"05c965be-d28a-4be5-819b-74db4416d535","[577-710] Lincolnshire Inquest UTF8.txt","Lincolnshire","char-offset:312","PLACE","http://geo-kima.org/place/7074","Lincolnshire (England)","","","","","UNVERIFIED","",""
"d3a6717b-fdc4-48f8-886d-61840bac4a21","[577-710] Lincolnshire Inquest UTF8.txt","Lincoln","char-offset:344","PLACE","http://sws.geonames.org/2644487","Lincoln","","53.22683","-0.53792","","VERIFIED","",""
"99531533-79b2-425a-b8f5-75708f15fc21","[577-710] Lincolnshire Inquest UTF8.txt","Walter de Hamby","char-offset:367","PERSON","","","","","","","","",""
"0febe5b5-c658-4c40-8f16-fd2e1faf2864","[577-710] Lincolnshire Inquest UTF8.txt","Alexander de Cobeldyk","char-offset:435","PERSON","","","","","","","","",""
"3865012a-5076-4a62-bbce-1c3770079a84","[577-710] Lincolnshire Inquest UTF8.txt","Walter","char-offset:485","PERSON","","","","","","","","",""
"345df314-d4c8-4ab8-ae8f-b928cbdd857f","[577-710] Lincolnshire Inquest UTF8.txt","Chancery","char-offset:495","PLACE","http://mapoflondon.uvic.ca/CHAN1.htm","Chancery Lane","","","","","VERIFIED","",""
"d08f6a0f-75fc-4efe-aca3-6db689522ccb","[577-710] Lincolnshire Inquest UTF8.txt","580 The same Gilbert Ledered, Roger de Wolesthorp and Henry de Tyddewell, wool collectors, on 9 Sept. 1338 at Lincoln took IV2 stones of wool in excess of the assessment of wool, 15d for weighing and 12d for acquittance from the vill of Amcotts.","char-offset:505","EVENT","","","","","","","","",""
"dc2abce7-f267-4eb0-87e9-c2d62b8d6d31","[577-710] Lincolnshire Inquest UTF8.txt","Gilbert Ledered","char-offset:518","PERSON","","","","","","","","",""
"30a516f0-ade1-4818-afc4-f66bcf5907a7","[577-710] Lincolnshire Inquest UTF8.txt","Roger de Wolesthorp","char-offset:535","PERSON","","","","","","","","",""
"84db036f-6c45-44ad-a4d3-f666e3fa22dc","[577-710] Lincolnshire Inquest UTF8.txt","Henry de Tyddewell","char-offset:559","PERSON","","","","","","","","",""
"e8f3e03d-2c39-4aba-9f16-207b39957a87","[577-710] Lincolnshire Inquest UTF8.txt","Lincoln","char-offset:615","PLACE","http://sws.geonames.org/2644487","Lincoln","","53.22683","-0.53792","","VERIFIED","",""
"4de356fd-ec10-4bb1-9a46-332326caccd9","[577-710] Lincolnshire Inquest UTF8.txt","Amcotts","char-offset:742","PLACE","","","","","","","UNVERIFIED","",""
"51a3e8ac-9e38-4b52-9893-e61af04ecb86","[577-710] Lincolnshire Inquest UTF8.txt","581 Hugh de Rothewell ,deputyof the same Herbert [ ?de Gresseby], on 8 J une 1338 at Corringham took 1 quarter of wheat (4s) from Roger Ganyl, and the king did not receive it. [See 71 above.]","char-offset:751","EVENT","","","","","","","","",""
"d3392e4a-a352-436a-8834-5abd081d9992","[577-710] Lincolnshire Inquest UTF8.txt","Hugh de Rothewell","char-offset:755","PERSON","","","","","","","","",""
"25e36672-cdad-4cd7-813e-a8e459173700","[577-710] Lincolnshire Inquest UTF8.txt","Herbert","char-offset:792","PERSON","","","","","","","","",""
"d0ab9f34-9f9f-4886-ae4f-08f28fb5973e","[577-710] Lincolnshire Inquest UTF8.txt","Corringham","char-offset:836","PLACE","","","","","","","UNVERIFIED","",""
"89185dc9-3b38-45c7-bc54-f7215788d72f","[577-710] Lincolnshire Inquest UTF8.txt","Roger Ganyl","char-offset:881","PERSON","","","","","","","","",""
"2013ee98-bc65-4110-9192-690158071b5e","[577-710] Lincolnshire Inquest UTF8.txt","582 The same Hugh on 26 July 1338 at Gainsborough took 3 quarters of malt (13s) from John Carbonel of Pilham, and the king did not receive it. [See 54 above.]","char-offset:943","EVENT","","","","","","","","",""
"bcda6d9a-4243-4a58-a141-b223e149309b","[577-710] Lincolnshire Inquest UTF8.txt","Hugh","char-offset:956","PERSON","","","","","","","","",""
"53fc4af5-5e26-4fbd-9f68-241356cd4612","[577-710] Lincolnshire Inquest UTF8.txt","Gainsborough","char-offset:980","PERSON","","","","","","","","",""
"0e3a6e71-7b7c-4118-b113-7613df81f29f","[577-710] Lincolnshire Inquest UTF8.txt","John Carbonel","char-offset:1028","PERSON","","","","","","","","",""
"debe93bf-8ccb-4598-9101-f32964cd79e5","[577-710] Lincolnshire Inquest UTF8.txt","Pilham","char-offset:1045","PLACE","","","","","","","UNVERIFIED","",""
"8fbb8318-2257-4e31-8227-3375cd758223","[577-710] Lincolnshire Inquest UTF8.txt","583 The same Gilbert [Ledred], when he was escheator, on 17 Dec. 1337 without cause entered and seized the manor of Caenby and would not release it until Nicholas de Tourney paid him 1 mark.","char-offset:1102","EVENT","","","","","","","","",""
"ea9caccf-2231-4b4b-8ddc-8080e19655a4","[577-710] Lincolnshire Inquest UTF8.txt","Gilbert -LSB- Ledred","char-offset:1115","PERSON","","","","","","","","",""
"cc0e2a29-8481-44a4-97c9-0e983a161596","[577-710] Lincolnshire Inquest UTF8.txt","Caenby","char-offset:1218","PLACE","","","","","","","UNVERIFIED","",""
"48f0d8b4-7e4b-428b-b954-9f7c971a13f6","[577-710] Lincolnshire Inquest UTF8.txt","Nicholas de Tourney","char-offset:1256","PERSON","","","","","","","","",""
"c5b9b5fa-f784-4f45-af2a-c19f025e52c9","[577-710] Lincolnshire Inquest UTF8.txt","584 The same Gilbert on 30 March 1338 seized the priory of Elsham and falsely charging that it was held from the king in chief, took 1 mark by threats and hardships to leave the priory in peace.","char-offset:1293","EVENT","","","","","","","","",""
"a9eecea4-6a60-43fb-98ab-fe49ab128a10","[577-710] Lincolnshire Inquest UTF8.txt","Gilbert","char-offset:1306","PERSON","","","","","","","","",""
"b211dd19-6814-4fc3-ade3-288d6f6f2606","[577-710] Lincolnshire Inquest UTF8.txt","Elsham","char-offset:1352","PLACE","","","","","","","UNVERIFIED","",""
