UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,COMMENTS
bb0fca89-6ef9-43f8-a785-f5af4d1d2bde,[710-911] Lincolnshire Inquest UTF8.txt,"711 Sir John de Bolyngbrok, former sheriff of Lincolnshire, on 12 Aug. 1336 unjustly took 40s sterling from Michael de Leycester, apothecary of Lincoln, after wrongfully charging that he had committed a certain trespass.",char-offset:27,EVENT,,,,,,,,,
18c4c0ef-ef78-46b8-999d-d9ac88826260,[710-911] Lincolnshire Inquest UTF8.txt,Sir John de Bolyngbrok,char-offset:31,PERSON,,,,,,,,,
f6b7ea39-28b0-439c-8433-7a6435c4cf03,[710-911] Lincolnshire Inquest UTF8.txt,John de Bolyngbrok,char-offset:35,PERSON,,,,,,,,,
24065b42-4b51-4066-baa6-f53b340c3de3,[710-911] Lincolnshire Inquest UTF8.txt,Lincolnshire,char-offset:73,PLACE,http://geo-kima.org/place/7074,Lincolnshire (England),,,,,VERIFIED,,
74c14902-d1dd-4292-a67f-5a38bc349534,[710-911] Lincolnshire Inquest UTF8.txt,Lincolnshire,char-offset:73,PLACE,http://geo-kima.org/place/7074,Lincolnshire (England),,,,,UNVERIFIED,,
affa4257-1cfb-48cb-b53a-8e8576b5d6d5,[710-911] Lincolnshire Inquest UTF8.txt,Michael de Leycester,char-offset:135,PERSON,,,,,,,,,
279163c7-53d7-47a1-b36c-1cb71b73328e,[710-911] Lincolnshire Inquest UTF8.txt,Michael de Leycester,char-offset:135,PERSON,,,,,,,,,
fd27b227-5aa3-4aff-a3eb-750809f92ce7,[710-911] Lincolnshire Inquest UTF8.txt,"712 Thomas de Carleton, John Judkyn, Hugh de Stokes and others in 10 Edward III wrongfully forced John de Outhorp of Lincoln to pay £7 10s sterling concerning a debt owed by William de Landforth.",char-offset:248,EVENT,,,,,,,,,
640f50db-ce2c-4d28-a0c2-4ea9c78ebc1e,[710-911] Lincolnshire Inquest UTF8.txt,Thomas de Carleton,char-offset:252,PERSON,,,,,,,,,
dececb72-b0c0-4638-ab41-c761c683e52f,[710-911] Lincolnshire Inquest UTF8.txt,Thomas de Carleton,char-offset:252,PERSON,,,,,,,,,
bb1572ae-906f-4a07-bc51-4b55373af683,[710-911] Lincolnshire Inquest UTF8.txt,John Judkyn,char-offset:272,PERSON,,,,,,,,,
c65f067f-0f26-4889-9eee-1c27eec36a8b,[710-911] Lincolnshire Inquest UTF8.txt,John Judkyn,char-offset:272,PERSON,,,,,,,,,
8b701a1a-b47a-4f83-9778-6ccdf62a6d62,[710-911] Lincolnshire Inquest UTF8.txt,Hugh de Stokes,char-offset:285,PERSON,,,,,,,,,
ef9982ac-b0c6-4c01-b2b0-31703e995bae,[710-911] Lincolnshire Inquest UTF8.txt,Hugh de Stokes,char-offset:285,PERSON,,,,,,,,,
fb21013d-1ee0-4918-8eb5-04eef96f563c,[710-911] Lincolnshire Inquest UTF8.txt,Edward III,char-offset:317,PERSON,,,,,,,,,
78da95dd-320c-4438-ab7d-1b55452b1a39,[710-911] Lincolnshire Inquest UTF8.txt,John de Outhorp,char-offset:346,PERSON,,,,,,,,,
bc5e69ae-f18c-4afb-a045-5e340d65a9e7,[710-911] Lincolnshire Inquest UTF8.txt,John de Outhorp,char-offset:346,PERSON,,,,,,,,,
5b00928c-3c1b-4001-a6be-877efe19a465,[710-911] Lincolnshire Inquest UTF8.txt,Lincoln,char-offset:365,PLACE,http://pleiades.stoa.org/places/79395,"Col. Lindum|Col. Lindum, Lincoln",-0.046875,53.233212,-0.540503,"settlement,city-gate",VERIFIED,,
13058466-9dd5-4f6f-afad-ee592676dde2,[710-911] Lincolnshire Inquest UTF8.txt,William de Landforth,char-offset:422,PERSON,,,,,,,,,
e6d47184-b7a1-442f-aa3a-1ec9db10ec9d,[710-911] Lincolnshire Inquest UTF8.txt,William de Landforth,char-offset:422,PERSON,,,,,,,,,
