UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,COMMENTS
19a5b2a8-5fa6-4a1a-8528-61e1bfafedc9,[001-175] Lincolnshire Inquest UTF8.txt,"1 Commission to Nicholas de Cantilupo, John de Wylughby, John de Kirketon and Roger de Baukewell to hear and determine various oppressions, extortions, injuries, and excesses committed in Lincolnshire against the people and the king since the king assumed governance of the realm by justices, escheators, subescheators, coroners, sheriffs, undersheriffs and their clerks and ministers, taxers, subtaxers and their clerks, admirals of fleets and their deputies, keepers and constables of the peace, castles and maritime lands, collectors and receivers of wool and their deputies, sellers, assessors and receivers of the ninth and other royal subsidies, barons of the Exchequer, clerks of the Chancery and Exchequer, clerks of receipt and other royal offices, keepers of forests, verderers, clerks and other ministers of forests, chases and parks, collectors and controllers of customs, tronagers, butlers and their substitutes, receivers of the kingâ€™s taxes, keepers of the kingâ€™s horses and their grooms, stewards and marshals of the kingâ€™s household, market clerks, purveyors of victuals, purveyors for the households of the king, queen and Edward, duke of Cornwall and earl of Chester, keepers of gaols, electors, triers and arrayers of men at arms, hobelars and archers, itinerant bailiffs and other bailiffs and royal ministers, and also by conspirators, jurors, usurers, confederates and others who maintain lawsuits in the kingâ€™s courts, as well as by malefactors who wander about armed in fairs, markets and other public and private places, beating, wounding and maiming people and extorting fines and redemptions, and by archdeacons, officials, [rural] deans, sequestrators and their commissaries and ministers. Dated at the Tower of London, 10 Dec. 1340.",char-offset:20,EVENT,,,,,,,,,
0a72ff0d-c735-4c3e-af10-3f3bec052d13,[001-175] Lincolnshire Inquest UTF8.txt,Nicholas de Cantilupo,char-offset:36,PERSON,,,,,,,,,
8cdac90c-d6c5-4ac5-a842-4571ad96d389,[001-175] Lincolnshire Inquest UTF8.txt,John de Wylughby,char-offset:59,PERSON,,,,,,,,,
cf2789db-dd3b-4aa6-8d87-0766c53cb886,[001-175] Lincolnshire Inquest UTF8.txt,John de Kirketon,char-offset:77,PERSON,,,,,,,,,
5f061245-692f-4360-b142-c8d46393baff,[001-175] Lincolnshire Inquest UTF8.txt,Roger de Baukewell,char-offset:98,PERSON,,,,,,,,,
1fe246d4-51e6-4eb2-88c3-a0d30144eb8b,[001-175] Lincolnshire Inquest UTF8.txt,Lincolnshire,char-offset:208,PLACE,http://geo-kima.org/place/7074,Lincolnshire (England),,,,,UNVERIFIED,,
089dc4b8-71af-4350-984b-7b16d6769187,[001-175] Lincolnshire Inquest UTF8.txt,Edward,char-offset:1162,PERSON,,,,,,,,,
2f5c8891-d1b1-4aac-a33b-ebdfe796a0c3,[001-175] Lincolnshire Inquest UTF8.txt,Cornwall,char-offset:1178,PLACE,http://geo-kima.org/place/10064,Cornwall (Ont.),,,,,UNVERIFIED,,
d3ca7cd3-1565-468c-bb02-6e2c02f2facc,[001-175] Lincolnshire Inquest UTF8.txt,Chester,char-offset:1199,PLACE,http://sws.geonames.org/2653228,Chester,,53.1905,-2.89189,,UNVERIFIED,,
4d209908-40d6-4921-9426-c0f8fd56c8f0,[001-175] Lincolnshire Inquest UTF8.txt,London,char-offset:1762,PLACE,http://sws.geonames.org/6058560,London,,42.98339,-81.23304,,UNVERIFIED,,
