"","city","n","country","county","lat","long"
"1","Lincoln",412,"United Kingdom","Lincolnshire",53.2336301,-0.5392172
"2","Boston",106,"United Kingdom","Lincolnshire",52.9770408,-0.0239836
"3","Lincolnshire",76,"United Kingdom","Lincolnshire",53.5841303,-0.6649323
"4","Stamford",50,"United Kingdom","Lincolnshire",52.6520552,-0.4804363
"5","Grantham",39,"United Kingdom","Lincolnshire",52.9133829,-0.6426582
"6","Grimsby",39,"United Kingdom","Lincolnshire",53.5677371,-0.0736289
"7","Louth",34,"United Kingdom","Lincolnshire",53.3675163,-0.0022381
"8","Barton upon Humber",27,"United Kingdom","Lincolnshire",53.67357325,-0.442710043888241
"9","Holland",26,"United Kingdom","Lincolnshire",52.8127195,-0.00126279725762607
"10","Lindsey",23,"United Kingdom","Lincolnshire",53.2680103,0.0127757730434089
"11","Swineshead",22,"United Kingdom","Lincolnshire",52.9453585,-0.1583028
"12","Whaplode",21,"United Kingdom","Lincolnshire",52.7994628,-0.0360638
"13","Kesteven",19,"United Kingdom","Lincolnshire",52.8502665,-0.495192474160971
"14","Long Sutton",18,"United Kingdom","Lincolnshire",52.7862774,0.1201796
"15","Sleaford",18,"United Kingdom","Lincolnshire",52.9984193,-0.4094529
"16","Spalding",18,"United Kingdom","Lincolnshire",52.7874935,-0.1516271
"17","Gainsborough",17,"United Kingdom","Lincolnshire",53.3968736,-0.7739577
"18","Bardney",15,"United Kingdom","Lincolnshire",53.2105265,-0.3245785
"19","Bicker",15,"United Kingdom","Lincolnshire",52.9212336,-0.1798179
"20","Donington in Holland",15,"United Kingdom","Lincolnshire",NA,NA
"21","Bourne",14,"United Kingdom","Lincolnshire",52.7682148,-0.3771217
"22","Skirbeck",14,"United Kingdom","Lincolnshire",52.9691289,-0.0084822
"23","Holbeach",13,"United Kingdom","Lincolnshire",52.80421,0.0180043
"24","Tathwell",13,"United Kingdom","Lincolnshire",53.3277316,-0.0183869
"25","Washingborough",12,"United Kingdom","Lincolnshire",53.2223092,-0.4734512
"26","Donington",11,"United Kingdom","Lincolnshire",52.9046401,-0.206098
"27","Horbling",11,"United Kingdom","Lincolnshire",52.9038266,-0.3375522
"28","Scothem",11,"United Kingdom","Lincolnshire",NA,NA
"29","Denton",10,"United Kingdom","Lincolnshire",52.8835894,-0.711023
"30","Fishtoft",10,"United Kingdom","Lincolnshire",52.9618836,0.0269015
"31","Friskney",10,"United Kingdom","Lincolnshire",53.0754153,0.1795964
"32","Harmston",10,"United Kingdom","Lincolnshire",53.1485656,-0.547871
"33","Honington",10,"United Kingdom","Lincolnshire",52.9774392,-0.5949147
"34","Morton by Bourne",10,"United Kingdom","Lincolnshire",NA,NA
"35","Perth",10,"United Kingdom","Lincolnshire",NA,NA
"36","Spanby",10,"United Kingdom","Lincolnshire",52.929262,-0.3737087
"37","Sutterton",10,"United Kingdom","Lincolnshire",52.9029627,-0.0904811
"38","Market Deeping",9,"United Kingdom","Lincolnshire",52.6769366,-0.3149877
"39","Searby",9,"United Kingdom","Lincolnshire",53.5381296,-0.3845898
"40","Wrangle",9,"United Kingdom","Lincolnshire",53.0378725,0.1247633
"41","Fiskerton",8,"United Kingdom","Lincolnshire",53.235737,-0.4279668
"42","Gosberton",8,"United Kingdom","Lincolnshire",52.869059,-0.161089
"43","Leake",8,"United Kingdom","Lincolnshire",53.0311795,0.0969849
"44","Long Bennington",8,"United Kingdom","Lincolnshire",52.9920803,-0.7569752
"45","Quadring",8,"United Kingdom","Lincolnshire",52.8820823,-0.1836923
"46","Tydd St Mary",8,"United Kingdom","Lincolnshire",52.7456824,0.131329
"47","Ulceby",8,"United Kingdom","Lincolnshire",53.6164259,-0.329683918050209
"48","Wigtoft",8,"United Kingdom","Lincolnshire",52.9083331,-0.1239868
"49","Binbrook",7,"United Kingdom","Lincolnshire",53.4290439,-0.179191
"50","Brauncewell",7,"United Kingdom","Lincolnshire",53.0557703,-0.489743
"51","Corby",7,"United Kingdom","Lincolnshire",52.8133953,-0.519641
"52","Pinchbeck",7,"United Kingdom","Lincolnshire",52.8136925,-0.1626841
"53","Rauceby",7,"United Kingdom","Lincolnshire",52.9966735,-0.4701711
"54","Richmond",7,"United Kingdom","Lincolnshire",53.2692475,-0.4630387
"55","Sibsey",7,"United Kingdom","Lincolnshire",53.0379996,0.0166928
"56","Swaton",7,"United Kingdom","Lincolnshire",52.9246359,-0.316716
"57","Torksey",7,"United Kingdom","Lincolnshire",53.3002756,-0.7448882
"58","Waddington",7,"United Kingdom","Lincolnshire",53.1672819,-0.5390813
"59","Aveland",6,"United Kingdom","Lincolnshire",NA,NA
"60","Bassingham",6,"United Kingdom","Lincolnshire",53.128616,-0.6406939
"61","Baston",6,"United Kingdom","Lincolnshire",52.7109591,-0.3564029
"62","Belton",6,"United Kingdom","Lincolnshire",52.9458483,-0.6170959
"63","Burton on Stather",6,"United Kingdom","Lincolnshire",NA,NA
"64","Dunholme",6,"United Kingdom","Lincolnshire",NA,NA
"65","Frampton",6,"United Kingdom","Lincolnshire",52.934228,-0.0321117
"66","Great or Little Hale",6,"United Kingdom","Lincolnshire",NA,NA
"67","Haconby",6,"United Kingdom","Lincolnshire",52.8144993,-0.3617334
"68","Kirkstead",6,"United Kingdom","Lincolnshire",53.1401097,-0.2168619
"69","London",6,"United Kingdom","Lincolnshire",53.254886,-0.0025903
"70","Mablethorpe",6,"United Kingdom","Lincolnshire",53.3408271,0.2606772
"71","Rippingale",6,"United Kingdom","Lincolnshire",52.8381603,-0.3696044
"72","Scotland",6,"United Kingdom","Lincolnshire",52.8609703,-0.5098637
"73","Scottlethorpe",6,"United Kingdom","Lincolnshire",52.7759376,-0.4410192
"74","Surfleet",6,"United Kingdom","Lincolnshire",52.8351289,-0.1426897
"75","Amice",5,"United Kingdom","Lincolnshire",NA,NA
"76","Belchford",5,"United Kingdom","Lincolnshire",53.2607735,-0.0628264
"77","Burton",5,"United Kingdom","Lincolnshire",53.2605063,-0.562336
"78","Caistor",5,"United Kingdom","Lincolnshire",53.4959171,-0.3124269
"79","Crowle",5,"United Kingdom","Lincolnshire",53.6078121,-0.832644
"80","Ewerby",5,"United Kingdom","Lincolnshire",53.0122705,-0.329662
"81","Fleet",5,"United Kingdom","Lincolnshire",52.7934253,0.0581494
"82","Great Limber",5,"United Kingdom","Lincolnshire",53.5621956,-0.2900625
"83","Great or Little Limber",5,"United Kingdom","Lincolnshire",NA,NA
"84","Keddington",5,"United Kingdom","Lincolnshire",53.3773844,0.021885
"85","Orby",5,"United Kingdom","Lincolnshire",53.1819232,0.2291969
